text	postUrl	commentTimeStamp	postCaption	postTimeStamp	model	Media type	isComment	Source	relevanceLabel	positiveTopicClass	negativeTopicClass	primaryPositiveAspect	primaryNegativeAspect	sentiment
:red_heart:	https://www.instagram.com/p/Ct1EteaIVUd	2023-08-27T07:35:30.000Z	A tiny machine for mighty practicality! Order yours now to benefit from the offer on the Lavazza Tiny machine for 99$, with a free box of capsules and free delivery. #lavazzalove #coffeebreak #morningfuel #espresso #mug #coffee #beans #capsule #machine #lavazza #lavazzacoffee #lavazzacoffee #lavazzaamodomio #lavazzaespress #coffeeholic #coffeelover #lebanon #lebanese #beirut #italy #italian #technology	23/06/2023 12:19:07	tinyeco	Instagram	True	instagram.com	1	NONE	NONE	NONE	NONE	Neutral
I love the color	https://www.instagram.com/reel/CxtPqQLr5D9	2023-10-01T19:03:35.000Z	Coffee machine Here is finally our new coffee machine, we opted for the LAVAZZA A MODO MIO TINY ECO, small, compact and practical, the first Lavazza a modo mio machine made with recycled plastic and this thing attracted me so much.. and finally a bit of color in the house, it was really needed! It goes without saying that Lavazza coffee is always a guarantee, even if I don't drink it • • • #machine #coffeemachine #cofeemaker #coffee #coffee #espresso #caffetime #coffee #coffeetime #recycledplastic #lavazza #lavazzacoffee #relaxtime	27/09/2023 21:45:34	tinyeco	Instagram	True	instagram.com	1	Design and Materials	NONE	Color	NONE	Positive
:smiling_face_with_heart-eyes::raising_hands:	https://www.instagram.com/reel/CxtPqQLr5D9	2023-09-29T09:58:03.000Z	Coffee machine Here is finally our new coffee machine, we opted for the LAVAZZA A MODO MIO TINY ECO, small, compact and practical, the first Lavazza a modo mio machine made with recycled plastic and this thing attracted me so much.. and finally a bit of color in the house, it was really needed! It goes without saying that Lavazza coffee is always a guarantee, even if I don't drink it • • • #machine #coffeemachine #cofeemaker #coffee #coffee #espresso #caffetime #coffee #coffeetime #recycledplastic #lavazza #lavazzacoffee #relaxtime	27/09/2023 21:45:34	tinyeco	Instagram	True	instagram.com	1	NONE	NONE	NONE	NONE	Positive
I like the color. Different from usual	https://www.instagram.com/reel/CxtPqQLr5D9	2023-09-28T14:11:20.000Z	Coffee machine Here is finally our new coffee machine, we opted for the LAVAZZA A MODO MIO TINY ECO, small, compact and practical, the first Lavazza a modo mio machine made with recycled plastic and this thing attracted me so much.. and finally a bit of color in the house, it was really needed! It goes without saying that Lavazza coffee is always a guarantee, even if I don't drink it • • • #machine #coffeemachine #cofeemaker #coffee #coffee #espresso #caffetime #coffee #coffeetime #recycledplastic #lavazza #lavazzacoffee #relaxtime	27/09/2023 21:45:34	tinyeco	Instagram	True	instagram.com	1	Design and Materials	NONE	Color	NONE	Positive
Color :TOP_arrow:	https://www.instagram.com/reel/CxtPqQLr5D9	2023-09-28T12:09:52.000Z	Coffee machine Here is finally our new coffee machine, we opted for the LAVAZZA A MODO MIO TINY ECO, small, compact and practical, the first Lavazza a modo mio machine made with recycled plastic and this thing attracted me so much.. and finally a bit of color in the house, it was really needed! It goes without saying that Lavazza coffee is always a guarantee, even if I don't drink it • • • #machine #coffeemachine #cofeemaker #coffee #coffee #espresso #caffetime #coffee #coffeetime #recycledplastic #lavazza #lavazzacoffee #relaxtime	27/09/2023 21:45:34	tinyeco	Instagram	True	instagram.com	1	Design and Materials	NONE	Color	NONE	Neutral
Beautiful :smiling_face_with_heart-eyes::smiling_face_with_heart-eyes: the coffee will be delicious :face_savoring_food:	https://www.instagram.com/reel/CxtPqQLr5D9	2023-09-28T06:24:27.000Z	Coffee machine Here is finally our new coffee machine, we opted for the LAVAZZA A MODO MIO TINY ECO, small, compact and practical, the first Lavazza a modo mio machine made with recycled plastic and this thing attracted me so much.. and finally a bit of color in the house, it was really needed! It goes without saying that Lavazza coffee is always a guarantee, even if I don't drink it • • • #machine #coffeemachine #cofeemaker #coffee #coffee #espresso #caffetime #coffee #coffeetime #recycledplastic #lavazza #lavazzacoffee #relaxtime	27/09/2023 21:45:34	tinyeco	Instagram	True	instagram.com	1	Design and Materials, Coffee Quality	NONE	Delicious coffee	NONE	Positive
Very cute :smiling_face_with_heart-eyes: coordinated with the furniture :face_with_tears_of_joy::face_with_tears_of_joy: now you can't change your mind :face_with_tears_of_joy:	https://www.instagram.com/reel/CxtPqQLr5D9	2023-09-27T20:24:41.000Z	Coffee machine Here is finally our new coffee machine, we opted for the LAVAZZA A MODO MIO TINY ECO, small, compact and practical, the first Lavazza a modo mio machine made with recycled plastic and this thing attracted me so much.. and finally a bit of color in the house, it was really needed! It goes without saying that Lavazza coffee is always a guarantee, even if I don't drink it • • • #machine #coffeemachine #cofeemaker #coffee #coffee #espresso #caffetime #coffee #coffeetime #recycledplastic #lavazza #lavazzacoffee #relaxtime	27/09/2023 21:45:34	tinyeco	Instagram	True	instagram.com	1	Design and Materials	NONE	Cute design	NONE	Positive
Top Faith!! :red_heart:	https://www.instagram.com/reel/CxtPqQLr5D9	2023-09-27T19:48:52.000Z	Coffee machine Here is finally our new coffee machine, we opted for the LAVAZZA A MODO MIO TINY ECO, small, compact and practical, the first Lavazza a modo mio machine made with recycled plastic and this thing attracted me so much.. and finally a bit of color in the house, it was really needed! It goes without saying that Lavazza coffee is always a guarantee, even if I don't drink it • • • #machine #coffeemachine #cofeemaker #coffee #coffee #espresso #caffetime #coffee #coffeetime #recycledplastic #lavazza #lavazzacoffee #relaxtime	27/09/2023 21:45:34	tinyeco	Instagram	True	instagram.com	1	Brand Awareness	NONE	Top Faith	NONE	Positive
E top	https://www.instagram.com/p/CqKXw4jI2uy	2023-03-26T00:09:47.000Z	Tiny Eco Red Coffee Machine with 64 Red Quality Capsules Included ON SALE WITH 19% DISCOUNT https://amzn.to/42FFfhx #scontiscontisconti #scontionline #ScontiYesWeCan #sconti #offerteamazon #onlineshop #scontiamazon #scontiyeswecan #onlineshopping #offerte #cialdecaffe #cafeteria #pods #caffeespresso #coffe #capsules #espressoitaliano #caffeitaliano #podscompatible #caffetime #espresso #lavazza #lavazzaamodomio #LavazzaCoffee	24/03/2023 07:44:06	tinyeco	Instagram	True	instagram.com	1	NONE	NONE	NONE	NONE	Neutral
:clapping_hands:	https://www.instagram.com/p/CqKXw4jI2uy	2023-03-24T14:22:54.000Z	Tiny Eco Red Coffee Machine with 64 Red Quality Capsules Included ON SALE WITH 19% DISCOUNT https://amzn.to/42FFfhx #scontiscontisconti #scontionline #ScontiYesWeCan #sconti #offerteamazon #onlineshop #scontiamazon #scontiyeswecan #onlineshopping #offerte #cialdecaffe #cafeteria #pods #caffeespresso #coffe #capsules #espressoitaliano #caffeitaliano #podscompatible #caffetime #espresso #lavazza #lavazzaamodomio #LavazzaCoffee	24/03/2023 07:44:06	tinyeco	Instagram	True	instagram.com	1	NONE	NONE	NONE	NONE	Neutral
